,Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
0,59,2,6,1,1,1,0,84,21,94,2,5,7,40,26,0
1,44,2,14,5,14,2,0,30,84,68,1,2,2,14,9,1
2,36,0,7,6,19,1,2,12,86,71,1,0,1,6,3,1
3,27,0,6,1,2,0,0,90,18,21,2,3,10,67,26,0
4,49,1,12,1,2,2,0,49,52,72,2,5,13,26,19,2
5,45,3,9,7,10,0,0,72,33,54,2,4,5,69,9,0
6,48,0,10,3,18,2,0,46,63,63,2,2,7,45,9,2
7,23,2,2,6,19,1,1,36,37,77,1,2,0,27,3,2
8,24,0,3,3,8,0,0,41,62,90,1,1,1,20,8,1
9,48,2,6,6,7,2,2,84,8,81,2,2,5,67,29,2
10,33,0,0,7,10,2,0,88,15,78,2,2,8,42,21,0
11,32,0,0,4,4,1,0,65,36,21,2,5,10,39,27,0
12,53,0,16,5,14,1,1,77,33,74,2,4,10,54,28,0
13,54,0,12,2,6,1,0,82,8,22,2,5,8,68,23,0
14,39,2,5,7,21,1,1,10,87,30,1,2,5,5,9,1
15,36,2,7,5,14,1,1,11,99,28,1,0,2,9,2,1
16,23,2,2,6,17,0,2,45,65,57,2,5,13,44,7,2
17,38,1,17,1,1,1,1,89,10,67,2,5,12,81,12,0
18,37,0,11,7,10,1,0,39,42,57,1,2,2,25,1,2
19,53,0,11,0,0,1,0,70,57,83,2,2,5,67,16,2
20,49,2,12,5,14,0,0,55,41,72,2,5,9,32,27,2
21,23,1,2,4,4,1,2,67,39,42,1,1,2,62,9,0
22,37,0,11,1,5,1,0,33,84,32,1,1,5,20,2,2
23,48,0,11,1,2,1,1,60,63,41,1,1,1,35,5,2
24,26,0,5,5,13,0,0,14,67,87,1,1,2,7,6,1
25,36,3,11,0,16,1,0,26,60,77,1,2,1,14,4,1
26,43,1,17,6,7,0,0,57,36,20,2,4,7,43,16,0
27,57,1,14,1,1,1,0,56,41,67,2,2,11,30,8,0
28,50,2,6,6,17,0,0,19,82,38,1,0,4,14,3,1
30,32,2,11,1,5,2,0,55,43,21,2,4,5,36,12,0
33,43,2,7,0,0,2,2,71,4,32,2,4,7,34,21,1
34,39,3,7,6,7,0,1,25,68,88,1,2,4,24,3,1
35,36,2,2,5,13,2,1,48,55,94,2,3,13,43,14,2
36,37,2,6,1,2,1,0,46,56,57,2,4,11,35,29,2
37,56,0,6,2,6,2,1,63,26,38,2,4,7,28,17,2
38,48,2,16,6,19,0,1,12,92,77,1,0,0,8,7,1
39,26,2,1,4,23,0,1,56,44,94,2,5,9,42,8,2
40,40,3,5,5,13,1,0,66,24,94,2,5,9,35,12,2
41,56,0,13,6,7,1,1,50,46,82,1,0,0,33,0,2
42,33,2,4,0,22,0,2,78,26,89,2,3,9,52,27,1
43,21,0,0,6,19,0,0,35,68,91,1,0,4,24,0,2
44,55,0,10,0,0,1,2,32,63,72,1,1,0,19,2,1
45,24,0,1,5,14,1,1,81,18,73,2,3,7,74,22,0
46,25,0,4,6,7,0,1,84,41,70,2,3,10,65,22,0
47,50,0,13,0,22,2,1,47,61,94,1,2,1,39,2,1
48,49,0,0,4,23,0,1,86,13,62,2,2,11,66,27,0
49,31,1,8,4,20,1,0,65,44,46,2,2,6,30,23,0
50,25,1,2,5,14,1,1,21,65,65,1,0,2,10,8,2
51,42,1,0,6,7,0,2,70,31,71,2,4,12,40,26,0
52,48,2,5,5,13,2,0,16,62,22,1,2,3,11,1,2
53,55,0,13,7,12,2,1,37,56,63,1,0,0,26,3,1
54,30,1,8,7,21,1,1,17,97,59,1,0,4,16,5,1
55,54,0,8,6,19,1,0,42,55,94,1,2,5,39,7,2
57,28,0,7,3,18,0,0,35,57,39,1,0,3,27,0,2
58,58,0,3,2,6,1,0,59,43,29,2,3,12,29,6,2
59,57,1,18,2,6,2,1,47,35,68,1,0,5,24,1,1
60,31,0,9,7,12,0,0,23,75,79,1,0,2,21,9,1
61,45,2,7,1,5,1,1,48,57,57,1,0,0,30,8,2
62,22,0,1,7,12,2,2,16,84,70,1,2,4,11,0,1
63,59,0,6,4,4,0,1,36,79,93,1,0,5,26,5,1
64,56,0,20,5,13,1,1,77,13,64,2,4,8,64,8,0
65,47,0,15,3,8,2,2,47,48,65,1,2,3,36,9,1
66,38,2,7,1,2,0,1,77,23,24,2,3,5,52,13,0
67,49,1,11,5,13,0,2,10,100,40,1,2,0,6,4,1
68,46,0,3,0,22,0,0,91,0,91,2,4,7,49,26,0
69,27,1,6,5,15,2,0,38,80,47,1,1,4,20,0,2
70,40,2,19,2,9,1,0,80,3,20,2,4,12,51,23,0
71,50,0,0,3,8,2,1,49,34,66,2,3,6,33,26,2
72,50,0,3,5,13,0,2,41,61,29,1,0,3,38,1,2
73,28,1,2,2,6,2,0,68,57,86,2,4,5,57,19,0
74,55,2,13,1,2,0,0,46,44,73,1,1,1,39,6,2
75,41,1,4,5,13,2,1,69,36,88,2,5,14,44,6,0
76,32,2,6,6,19,1,2,33,77,81,1,1,0,15,1,1
77,34,2,13,0,22,1,0,82,19,68,2,3,14,68,17,0
78,57,0,9,3,8,1,1,85,5,46,0,5,19,65,26,0
79,37,0,16,0,0,1,1,73,30,84,2,4,9,63,8,2
80,49,0,1,3,18,1,0,63,29,74,2,2,12,37,5,0
81,40,1,9,0,0,0,1,82,14,92,2,5,5,59,5,0
82,60,2,1,6,19,0,1,21,74,83,1,0,4,20,0,1
83,32,0,6,6,7,0,1,30,78,89,1,0,1,24,8,1
84,46,1,9,1,1,1,2,35,61,26,1,1,2,31,6,1
85,51,2,7,4,20,0,0,26,61,79,1,0,1,21,2,1
86,60,0,0,2,11,0,1,34,53,77,1,1,3,15,1,1
87,54,1,10,4,4,0,1,41,84,29,1,1,0,30,6,2
88,21,0,0,2,9,2,0,71,26,56,2,2,13,36,28,0
89,57,2,10,7,10,2,0,65,37,81,2,2,6,55,29,2
90,24,0,3,6,7,2,0,50,66,22,2,3,11,36,21,0
91,40,3,11,5,15,2,0,59,42,22,2,5,7,46,10,0
92,45,1,16,0,0,0,0,38,79,28,1,0,4,25,1,1
93,35,1,8,4,20,1,0,27,67,59,1,0,5,24,2,2
94,60,0,12,6,19,0,1,49,69,92,2,2,9,24,14,2
95,47,2,11,1,5,2,2,67,43,61,2,3,9,36,11,1
96,56,0,16,3,8,2,0,36,67,36,1,0,2,21,5,1
97,27,0,4,6,7,0,0,69,36,41,2,5,8,33,8,0
98,47,2,11,6,19,1,0,91,2,78,2,2,11,82,15,0
99,35,2,10,1,2,2,0,55,51,32,2,2,11,48,19,0
100,49,2,13,3,18,2,0,76,19,75,2,5,9,50,24,0
101,25,3,4,1,1,1,2,24,68,44,1,1,3,12,7,1
102,45,2,10,0,22,0,1,12,92,93,1,1,0,6,6,1
103,40,0,12,6,17,2,1,72,14,21,2,5,12,71,15,0
104,37,0,6,4,20,2,1,42,33,60,1,0,0,32,8,2
105,35,0,6,2,6,1,1,83,17,49,2,2,8,52,26,0
106,58,2,17,4,20,2,0,58,48,94,2,4,13,55,22,2
107,28,2,7,4,23,0,0,16,90,25,1,1,5,11,9,1
108,34,2,5,6,19,2,2,54,41,72,1,2,3,24,1,1
109,39,0,14,1,2,0,2,12,86,80,1,0,5,10,0,1
110,50,2,8,7,21,1,1,29,76,79,1,0,1,26,3,1
111,54,2,19,7,21,1,2,67,47,34,2,2,7,45,12,1
112,50,3,6,4,4,2,2,50,43,81,1,1,0,38,3,1
113,26,0,4,3,8,1,0,44,43,59,2,5,12,43,8,2
114,51,0,9,1,1,0,0,29,58,27,1,1,3,22,8,2
115,57,0,13,7,12,0,1,65,45,80,2,5,6,31,18,2
116,57,2,8,0,22,1,1,87,2,76,2,2,11,63,28,2
117,43,0,11,6,19,2,0,54,38,85,2,2,11,28,12,2
119,24,0,3,4,20,2,1,62,46,81,2,5,6,48,22,2
120,29,0,7,7,10,2,1,13,89,38,1,0,2,6,0,1
122,58,0,9,6,19,1,1,12,80,85,1,1,3,10,4,1
123,45,0,14,4,4,1,1,53,22,89,1,1,1,29,4,2
124,36,0,12,1,1,0,0,30,72,32,1,0,3,18,4,2
125,47,2,7,3,18,1,1,45,47,23,2,3,13,23,15,1
126,30,0,6,6,19,0,0,65,40,84,2,2,12,51,17,0
127,33,0,8,7,21,0,2,18,87,61,1,0,1,11,4,1
128,44,0,7,4,20,2,1,64,48,88,2,3,5,47,27,2
129,42,1,5,7,10,1,1,41,45,76,1,1,0,24,1,2
130,27,0,4,2,9,1,1,33,83,79,1,1,1,28,6,1
131,56,1,15,3,3,0,0,17,68,87,1,0,0,13,1,1
132,47,0,2,5,15,1,0,67,41,22,1,2,1,47,6,0
133,28,0,2,5,15,2,2,40,53,81,1,1,0,34,6,2
135,52,1,15,6,17,0,1,23,74,85,1,0,4,22,1,1
136,29,0,8,6,19,0,2,15,85,99,1,0,3,10,9,1
137,58,2,16,3,8,1,2,39,53,26,1,1,0,18,4,1
138,47,3,3,0,22,1,1,34,79,97,1,1,5,24,3,1
139,26,1,5,3,8,1,0,77,28,32,2,4,8,46,22,0
140,26,0,0,4,4,1,0,11,100,30,1,2,0,6,6,2
141,55,1,15,2,11,0,0,16,80,68,1,2,0,12,4,1
142,49,0,11,1,1,2,2,71,51,26,1,2,4,69,5,2
143,22,1,1,1,2,1,1,30,64,58,1,0,0,27,4,2
144,41,0,8,1,2,1,1,64,31,45,2,4,13,59,24,0
145,41,3,2,6,17,2,0,18,80,77,1,0,3,14,6,1
146,42,1,15,1,2,1,0,41,74,63,2,2,12,35,29,2
147,21,1,0,6,7,2,0,14,61,50,1,1,3,12,3,2
148,27,0,5,3,8,1,1,17,94,83,1,0,0,11,8,1
149,23,1,2,1,5,1,1,50,49,29,2,2,8,35,16,0
150,22,2,1,0,0,0,1,20,97,29,1,2,0,13,8,1
151,34,0,7,6,7,1,2,39,63,70,1,1,0,38,7,1
152,52,0,12,0,22,1,1,30,66,72,1,2,3,25,5,1
153,45,2,16,5,15,2,0,38,55,69,1,2,2,34,6,2
154,33,2,12,2,6,1,0,32,63,48,1,0,4,22,7,1
155,36,2,4,5,15,1,2,13,84,29,1,0,5,10,6,1
156,22,0,1,0,22,2,1,63,30,76,1,1,4,51,8,2
157,36,1,12,3,3,1,2,67,24,39,1,1,5,35,2,2
158,58,1,17,1,1,1,0,66,26,64,2,5,7,33,28,0
159,24,1,3,6,7,1,1,28,79,68,1,2,5,13,2,1
160,32,2,11,5,14,1,0,64,45,74,2,2,13,51,26,0
161,37,0,2,0,22,1,0,24,87,75,1,2,0,18,9,1
162,30,0,9,6,17,0,0,55,27,45,2,3,9,28,8,0
163,24,1,3,5,14,0,2,33,76,73,1,1,3,28,8,1
164,44,0,7,4,4,2,0,16,83,54,1,1,5,14,9,1
165,26,1,5,5,13,1,0,93,17,40,0,8,16,81,52,0
166,26,0,5,3,8,0,0,23,77,76,1,0,2,12,6,1
167,44,0,8,5,13,1,2,21,70,69,1,0,3,10,9,1
168,42,1,14,1,1,0,1,50,76,58,2,3,10,35,6,2
169,41,1,18,5,14,1,0,83,0,58,2,3,12,60,19,0
170,30,2,0,1,2,1,1,24,75,33,1,1,3,18,9,1
