,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026,AWS,Azure,Cloud Computing,Communication,Cybersecurity,Data Visualization,Deep Learning,Docker,Excel,Kubernetes,Leadership,Machine Learning,Project Management,Prompt Engineering,PyTorch,Python,SQL,TensorFlow
0,5,4,4,3,-1.5121478817987346,0.25,0.78,2,1.4576958349070535,1,-0.877413729544603,-0.8709635555608108,0,0,2.08,1,3.86,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,11,7,8,0,1.5432330618339545,0.73,0.33,1,0.25531265383070784,1,-1.3704004908479033,-0.31073828397366837,2,2,4.54,0,4.23,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
2,10,0,1,1,1.1447051126644732,0.8,0.69,2,-0.0332470343327793,2,-1.3704004908479033,1.369937530787759,2,1,3.14,0,3.54,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
3,4,3,8,0,-0.9807772829060931,0.29,0.94,1,1.3220538269708357,2,-0.6309203488929528,1.594027639422616,0,0,3.67,0,4.37,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
4,11,0,7,3,1.0118624629413129,0.11,0.92,1,0.9394256661755105,1,-0.6925436940558654,-1.2070987185130964,2,0,3.68,0,3.99,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
5,13,1,4,1,-0.05087873484397031,0.73,0.88,1,-1.021299957194231,0,0.10855979306199759,0.1374419332960456,1,0,4.58,1,3.72,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
6,19,6,8,1,1.0118624629413129,0.46,0.95,1,1.6610866391946988,0,0.2934298285507352,0.4735770962483311,2,1,3.12,1,3.16,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
7,8,8,2,1,-1.3793052320755743,0.15,0.49,0,-0.28936745070209774,2,1.525896731808986,-1.4311888271479534,0,1,2.39,0,4.79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,16,1,5,3,0.4804918640486713,0.73,0.74,1,1.6292430802381526,1,-0.7541670392187779,-0.8709635555608108,2,2,2.06,1,3.35,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
9,14,0,3,3,-0.8479346331829327,0.86,0.88,0,-1.409271481623988,1,1.1561566608315106,1.594027639422616,0,0,3.42,0,4.23,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10,3,8,0,2,1.6760757115571148,0.43,0.57,2,-1.4882305104652198,1,-0.9390370747075155,-0.9830086098782393,0,2,2.42,1,2.11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,4,0,8,3,0.3476492143255109,0.64,0.63,1,-1.674742784353562,1,1.7107667672977236,-0.31073828397366837,2,1,3.14,0,2.06,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0,5,9,1,0.7461771634949921,0.25,0.25,1,0.8212037457637071,0,1.649143422134811,0.1374419332960456,2,1,4.88,1,4.41,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13,18,8,4,1,0.08196391487919008,0.9,0.65,0,0.9949894272119331,0,0.5399232092023853,0.1374419332960456,1,2,2.61,0,1.95,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,18,3,1,1,0.6133345137718317,0.73,0.26,2,0.42411600972790947,0,-0.6925436940558654,-1.2070987185130964,1,1,4.64,0,2.14,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
15,3,4,6,0,-0.5822493337366119,0.14,0.89,1,-0.4930651373606394,0,-0.877413729544603,0.8097122592006165,1,1,4.06,0,3.02,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
16,19,2,7,3,0.6133345137718317,0.09,0.46,2,-1.1255135999698211,1,-1.4320238360108157,1.7060726937400446,0,1,3.64,0,3.33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
